Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0147216307	4992.35365	4992.35365	4992.35365	4992.35365	0	0	0	0	0	0	3
2	5	0	0.0294432614	4992.10527	4992.22946	4992.10527	4992.35365	0.124191344	0	0	0	0	0	3
3	6	0	0.0441648921	4991.95907	4992.13933	4991.95907	4992.35365	0.214320981	0	0	0	0	0	3
4	6	0	0.0588865227	4988.90704	4991.33126	4988.90704	4992.35365	1.02239378	0	0	0	0	0	3
5	7	0	0.0736081534	4988.87162	4990.83933	4988.87162	4992.35365	1.51432201	0	0	0	0	0	3
6	7	0	0.0883297841	4989.215	4990.56861	4988.87162	4992.35365	1.78504398	0	0	0	0	0	3
7	8	0	0.103051415	4990.17676	4990.51263	4988.87162	4992.35365	1.84102206	0	0	0	0	0	3
8	8	0	0.117773045	4994.06827	4990.95709	4988.87162	4994.06827	1.84102206	0	0	0	0	0	3
9	9	0	0.132494676	5145.75061	5008.15637	4988.87162	5145.75061	17.643735	0	0	0	0	0	3
10	10	0	0.147216307	5128.46701	5020.18743	4988.87162	5145.75061	29.6747994	0	0	0	0	0	3
11	10	0	0.161937938	5111.41377	5028.48073	4988.87162	5145.75061	37.968103	0	0	0	0	0	3
12	11	0	0.176659568	5098.2143	5034.29187	4988.87162	5145.75061	43.7792334	0	0	0	0	0	3
13	11	0	0.191381199	5128.27887	5041.52163	4988.87162	5145.75061	51.0090029	0	0	0	0	0	3
14	12	0	0.20610283	5126.07173	5047.56093	4988.87162	5145.75061	57.0482956	0	0	0	0	0	3
15	12	0	0.22082446	5116.18458	5052.13584	4988.87162	5145.75061	61.623206	0	0	0	0	0	3
16	13	0	0.235546091	5099.5038	5055.09634	4988.87162	5145.75061	64.5837034	0	0	0	0	0	3
17	14	0	0.250267722	5078.80211	5056.49079	4988.87162	5145.75061	65.978161	0	0	0	0	0	3
18	14	0	0.264989352	5165.55332	5062.54982	4988.87162	5165.55332	72.0371901	0	0	0	0	0	3
19	15	0	0.279710983	5171.84407	5068.30215	4988.87162	5171.84407	77.7895192	0	0	0	0	0	3
20	15	0	0.294432614	5184.67673	5074.12088	4988.87162	5184.67673	83.608248	0	0	0	0	0	3
21	16	0	0.309154244	5182.77466	5079.29487	4988.87162	5184.67673	88.7822373	0	0	0	0	0	3
22	16	0	0.323875875	5237.84697	5086.50178	4988.87162	5237.84697	95.989151	0	0	0	0	0	3
23	17	0	0.338597506	5259.24912	5094.01254	4988.87162	5259.24912	103.499905	0	0	0	0	0	3
24	18	0	0.353319136	5262.30416	5101.02469	4988.87162	5262.30416	110.512056	0	0	0	0	0	3
25	18	0	0.368040767	5274.62868	5107.96885	4988.87162	5274.62868	117.456216	0	0	0	0	0	3
26	19	0	0.382762398	5311.71244	5115.80514	4988.87162	5311.71244	125.292508	0	0	0	0	0	3
27	19	0	0.397484028	5352.78114	5124.58203	4988.87162	5352.78114	134.069397	0	0	0	0	0	3
28	20	0	0.412205659	5403.72557	5134.55144	4988.87162	5403.72557	144.038809	0	0	0	0	0	3
29	21	0	0.42692729	5457.34225	5145.68216	4988.87162	5457.34225	155.169526	0	0	0	0	0	3
30	21	0	0.441648921	5515.55749	5158.01134	4988.87162	5515.55749	167.498704	0	0	0	0	0	3
31	22	0	0.456370551	5577.37044	5171.53905	4988.87162	5577.37044	181.026417	0	0	0	0	0	3
32	22	0	0.471092182	5630.04779	5185.86745	4988.87162	5630.04779	195.354815	0	0	0	0	0	3
33	23	0	0.485813813	5674.58158	5200.67697	4988.87162	5674.58158	210.164334	0	0	0	0	0	3
34	24	0	0.500535443	5710.0525	5215.6586	4988.87162	5710.0525	225.145968	0	0	0	0	0	3
35	24	0	0.515257074	5724.39001	5237.18908	4988.87162	5724.39001	246.676449	0	0	0	0	0	3
36	25	0	0.529978705	5746.06339	5259.36432	4988.87162	5746.06339	268.851687	0	0	0	0	0	3
37	26	0	0.544700335	5764.04676	5282.07278	4988.87162	5764.04676	291.560149	0	0	0	0	0	3
38	26	0	0.559421966	5782.82549	5305.42332	4988.87162	5782.82549	314.910691	0	0	0	0	0	3
39	27	0	0.574143597	5794.06749	5329.10555	4989.215	5794.06749	338.592923	0	0	0	0	0	3
