Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0147216307	0	0	0	0	0	0	0	0	0	0	3
2	5	0	0.0294432614	0	0	0	0	0	0	0	0	0	0	3
3	6	0	0.0441648921	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0588865227	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0736081534	0	0	0	0	0	0	0	0	0	0	3
6	7	0	0.0883297841	0	0	0	0	0	0	0	0	0	0	3
7	8	0	0.103051415	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.117773045	0	0	0	0	0	0	0	0	0	0	3
9	9	0	0.132494676	0	0	0	0	0	0	0	0	0	0	3
10	10	0	0.147216307	0	0	0	0	0	0	0	0	0	0	3
11	10	0	0.161937938	0	0	0	0	0	0	0	0	0	0	3
12	11	0	0.176659568	0	0	0	0	0	0	0	0	0	0	3
13	11	0	0.191381199	0	0	0	0	0	0	0	0	0	0	3
14	12	0	0.20610283	0	0	0	0	0	0	0	0	0	0	3
15	12	0	0.22082446	0	0	0	0	0	0	0	0	0	0	3
16	13	0	0.235546091	0	0	0	0	0	0	0	0	0	0	3
17	14	0	0.250267722	0	0	0	0	0	0	0	0	0	0	3
18	14	0	0.264989352	0	0	0	0	0	0	0	0	0	0	3
19	15	0	0.279710983	0	0	0	0	0	0	0	0	0	0	3
20	15	0	0.294432614	0	0	0	0	0	0	0	0	0	0	3
21	16	0	0.309154244	0	0	0	0	0	0	0	0	0	0	3
22	16	0	0.323875875	0	0	0	0	0	0	0	0	0	0	3
23	17	0	0.338597506	0	0	0	0	0	0	0	0	0	0	3
24	18	0	0.353319136	0	0	0	0	0	0	0	0	0	0	3
25	18	0	0.368040767	0	0	0	0	0	0	0	0	0	0	3
26	19	0	0.382762398	0	0	0	0	0	0	0	0	0	0	3
27	19	0	0.397484028	0	0	0	0	0	0	0	0	0	0	3
28	20	0	0.412205659	0	0	0	0	0	0	0	0	0	0	3
29	21	0	0.42692729	0	0	0	0	0	0	0	0	0	0	3
30	21	0	0.441648921	0	0	0	0	0	0	0	0	0	0	3
31	22	0	0.456370551	0	0	0	0	0	0	0	0	0	0	3
32	22	0	0.471092182	0	0	0	0	0	0	0	0	0	0	3
33	23	0	0.485813813	0	0	0	0	0	0	0	0	0	0	3
34	24	0	0.500535443	0	0	0	0	0	0	0	0	0	0	3
35	24	0	0.515257074	0	0	0	0	0	0	0	0	0	0	3
36	25	0	0.529978705	0	0	0	0	0	0	0	0	0	0	3
37	26	0	0.544700335	0	0	0	0	0	0	0	0	0	0	3
38	26	0	0.559421966	0	0	0	0	0	0	0	0	0	0	3
39	27	0	0.574143597	0	0	0	0	0	0	0	0	0	0	3
40	27	0	0.588865227	0	0	0	0	0	0	0	0	0	0	3
41	28	0	0.603586858	0	0	0	0	0	0	0	0	0	0	3
42	28	0	0.618308489	0	0	0	0	0	0	0	0	0	0	3
43	29	0	0.633030119	0	0	0	0	0	0	0	0	0	0	3
44	30	0	0.64775175	0	0	0	0	0	0	0	0	0	0	3
45	30	0	0.662473381	0	0	0	0	0	0	0	0	0	0	3
46	31	0	0.677195011	0	0	0	0	0	0	0	0	0	0	3
47	32	0	0.691916642	0	0	0	0	0	0	0	0	0	0	3
48	32	0	0.706638273	0	0	0	0	0	0	0	0	0	0	3
49	33	0	0.721359904	0	0	0	0	0	0	0	0	0	0	3
50	33	0	0.736081534	0	0	0	0	0	0	0	0	0	0	3
51	34	0	0.750803165	0	0	0	0	0	0	0	0	0	0	3
52	34	0	0.765524796	0	0	0	0	0	0	0	0	0	0	3
53	35	0	0.780246426	0	0	0	0	0	0	0	0	0	0	3
54	36	0	0.794968057	0	0	0	0	0	0	0	0	0	0	3
55	36	0	0.809689688	0	0	0	0	0	0	0	0	0	0	3
56	37	0	0.824411318	0	0	0	0	0	0	0	0	0	0	3
57	37	0	0.839132949	0	0	0	0	0	0	0	0	0	0	3
58	38	0	0.85385458	0	0	0	0	0	0	0	0	0	0	3
59	39	0	0.86857621	0	0	0	0	0	0	0	0	0	0	3
60	39	0	0.883297841	0	0	0	0	0	0	0	0	0	0	3
61	40	0	0.898019472	0	0	0	0	0	0	0	0	0	0	3
62	40	0	0.912741102	0	0	0	0	0	0	0	0	0	0	3
63	41	0	0.927462733	0	0	0	0	0	0	0	0	0	0	3
64	42	0	0.942184364	0	0	0	0	0	0	0	0	0	0	3
65	42	0	0.956905994	0	0	0	0	0	0	0	0	0	0	3
66	43	0	0.971627625	0	0	0	0	0	0	0	0	0	0	3
67	43	0	0.986349256	0	0	0	0	0	0	0	0	0	0	3
68	44	0	1.00107089	0	0	0	0	0	5e-06	0	0	0	0	3
69	45	0	1.01579252	0	0	0	0	0	5e-06	0	0	0	0	3
70	45	0	1.03051415	0	0	0	0	0	5e-06	0	0	0	0	3
71	46	0	1.04523578	0	0	0	0	0	5e-06	0	0	0	0	3
72	46	0	1.05995741	0	0	0	0	0	5e-06	0	0	0	0	3
73	47	0	1.07467904	0	0	0	0	0	5e-06	0	0	0	0	3
74	47	0	1.08940067	0	0	0	0	0	5e-06	0	0	0	0	3
75	48	0	1.1041223	0	0	0	0	0	5e-06	0	0	0	0	3
76	49	0	1.11884393	0	0	0	0	0	5e-06	0	0	0	0	3
77	49	0	1.13356556	0	0	0	0	0	5e-06	0	0	0	0	3
78	50	0	1.14828719	0	0	0	0	0	5e-06	0	0	0	0	3
79	50	0	1.16300882	0	0	0	0	0	5e-06	0	0	0	0	3
80	51	0	1.17773045	0	0	0	0	0	5e-06	0	0	0	0	3
81	51	0	1.19245209	0	0	0	0	0	5e-06	0	0	0	0	3
82	52	0	1.20717372	0	0	0	0	0	5e-06	0	0	0	0	3
83	53	0	1.22189535	0	0	0	0	0	5e-06	0	0	0	0	3
84	53	0	1.23661698	0	0	0	0	0	5e-06	0	0	0	0	3
85	54	0	1.25133861	0	0	0	0	0	5e-06	0	0	0	0	3
86	54	0	1.26606024	0	0	0	0	0	5e-06	0	0	0	0	3
87	55	0	1.28078187	0	0	0	0	0	5e-06	0	0	0	0	3
88	56	0	1.2955035	0	0	0	0	0	5e-06	0	0	0	0	3
89	56	0	1.31022513	0	0	0	0	0	5e-06	0	0	0	0	3
90	57	0	1.32494676	0	0	0	0	0	5e-06	0	0	0	0	3
91	57	0	1.33966839	0	0	0	0	0	5e-06	0	0	0	0	3
92	58	0	1.35439002	0	0	0	0	0	5e-06	0	0	0	0	3
93	58	0	1.36911165	0	0	0	0	0	5e-06	0	0	0	0	3
94	59	0	1.38383328	0	0	0	0	0	5e-06	0	0	0	0	3
95	59	0	1.39855492	0	0	0	0	0	5e-06	0	0	0	0	3
96	60	0	1.41327655	0	0	0	0	0	5e-06	0	0	0	0	3
97	60	0	1.42799818	0	0	0	0	0	5e-06	0	0	0	0	3
98	61	0	1.44271981	0	0	0	0	0	5e-06	0	0	0	0	3
99	62	0	1.45744144	0	0	0	0	0	5e-06	0	0	0	0	3
100	62	0	1.47216307	0	0	0	0	0	5e-06	0	0	0	0	3
101	63	0	1.4868847	0	0	0	0	0	5e-06	0	0	0	0	3
102	64	0	1.50160633	0	0	0	0	0	5e-06	0	0	0	0	3
103	64	0	1.51632796	0	0	0	0	0	5e-06	0	0	0	0	3
104	65	0	1.53104959	0	0	0	0	0	5e-06	0	0	0	0	3
105	66	0	1.54577122	0	0	0	0	0	5e-06	0	0	0	0	3
106	66	0	1.56049285	0	0	0	0	0	5e-06	0	0	0	0	3
107	67	0	1.57521448	0	0	0	0	0	5e-06	0	0	0	0	3
108	67	0	1.58993611	0	0	0	0	0	5e-06	0	0	0	0	3
