Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0147216307	0.0498352178	0.0498352178	0.0498352178	0.0498352178	0	0	0	0	0	0	3
2	5	0	0.0294432614	0.00019165235	0.0250134351	0.00019165235	0.0498352178	0.0248217827	0	0	0	0	0	3
3	6	0	0.0441648921	-0.000143442598	0.0166278092	-0.000143442598	0.0498352178	0.0332074086	0	0	0	0	0	3
4	6	0	0.0588865227	-6.5371753e-05	0.0124545139	-0.000143442598	0.0498352178	0.0373807038	0	0	0	0	0	3
5	7	0	0.0736081534	-5.19216497e-05	0.00995322683	-0.000143442598	0.0498352178	0.039881991	0	0	0	0	0	3
6	7	0	0.0883297841	2.42408662e-06	0.0082947597	-0.000143442598	0.0498352178	0.0415404581	0	0	0	0	0	3
7	8	0	0.103051415	8.36241655e-06	0.00711098866	-0.000143442598	0.0498352178	0.0427242291	0	0	0	0	0	3
8	8	0	0.117773045	7.18032257e-05	0.00623109048	-0.000143442598	0.0498352178	0.0436041273	0	0	0	0	0	3
9	9	0	0.132494676	8.06021617e-05	0.00554770289	-0.000143442598	0.0498352178	0.0442875149	0	0	0	0	0	3
10	10	0	0.147216307	0.000202437866	0.00501317639	-0.000143442598	0.0498352178	0.0448220414	0	0	0	0	0	3
11	10	0	0.161937938	0.000105141957	0.00456699144	-0.000143442598	0.0498352178	0.0452682264	0	0	0	0	0	3
12	11	0	0.176659568	0.000138689127	0.00419796625	-0.000143442598	0.0498352178	0.0456372515	0	0	0	0	0	3
13	11	0	0.191381199	7.72571986e-05	0.00388098863	-0.000143442598	0.0498352178	0.0459542292	0	0	0	0	0	3
14	12	0	0.20610283	0.000213025024	0.00361899123	-0.000143442598	0.0498352178	0.0462162266	0	0	0	0	0	3
15	12	0	0.22082446	4.18257498e-05	0.00338051353	-0.000143442598	0.0498352178	0.0464547043	0	0	0	0	0	3
16	13	0	0.235546091	4.18846214e-05	0.00317184922	-0.000143442598	0.0498352178	0.0466633686	0	0	0	0	0	3
17	14	0	0.250267722	0.000224060924	0.00299844991	-0.000143442598	0.0498352178	0.0468367679	0	0	0	0	0	3
18	14	0	0.264989352	0.000113551165	0.00283817776	-0.000143442598	0.0498352178	0.04699704	0	0	0	0	0	3
19	15	0	0.279710983	0.000138699602	0.00269609996	-0.000143442598	0.0498352178	0.0471391178	0	0	0	0	0	3
20	15	0	0.294432614	0.000151812244	0.00256888558	-0.000143442598	0.0498352178	0.0472663322	0	0	0	0	0	3
21	16	0	0.309154244	0.000134767374	0.00245297518	-0.000143442598	0.0498352178	0.0473822426	0	0	0	0	0	3
22	16	0	0.323875875	-0.00957252699	0.00190636145	-0.00957252699	0.0498352178	0.0479288563	0	0	0	0	0	3
23	17	0	0.338597506	-0.0210433762	0.000908546767	-0.0210433762	0.0498352178	0.048926671	0	0	0	0	0	3
24	18	0	0.353319136	-0.0242169772	-0.000138350066	-0.0242169772	0.0498352178	0.0499735679	0	0	0	0	0	3
25	18	0	0.368040767	-0.0161634243	-0.000779353035	-0.0242169772	0.0498352178	0.0506145708	0	0	0	0	0	3
26	19	0	0.382762398	-0.0033442874	-0.000878004356	-0.0242169772	0.0498352178	0.0507132221	0	0	0	0	0	3
27	19	0	0.397484028	-0.00321673203	-0.0009646239	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
28	20	0	0.412205659	0.000249120393	-0.00092127589	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
29	21	0	0.42692729	0.000352467818	-0.000877353693	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
30	21	0	0.441648921	0.00035148721	-0.000836392329	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
31	22	0	0.456370551	0.000369697503	-0.000797486206	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
32	22	0	0.471092182	0.000563934384	-0.000754941812	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
33	23	0	0.485813813	0.000681154497	-0.000711423742	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
34	24	0	0.500535443	0.000662524596	-0.000671013497	-0.0242169772	0.0498352178	0.0507998417	0	0	0	0	0	3
35	24	0	0.515257074	0.000583736681	-0.00211958647	-0.0242169772	0.000681154497	0.0248981317	0	0	0	0	0	3
36	25	0	0.529978705	0.000573624772	-0.00210835199	-0.0242169772	0.000681154497	0.0187473957	0	0	0	0	0	3
37	26	0	0.544700335	0.0011006652	-0.00207176058	-0.0242169772	0.0011006652	0.0145741004	0	0	0	0	0	3
38	26	0	0.559421966	0.000708372844	-0.00204900339	-0.0242169772	0.0011006652	0.0120728133	0	0	0	0	0	3
39	27	0	0.574143597	0.000702715329	-0.00202680818	-0.0242169772	0.0011006652	0.0104143462	0	0	0	0	0	3
40	27	0	0.588865227	0.000671951448	-0.0020071162	-0.0242169772	0.0011006652	0.00923057513	0	0	0	0	0	3
41	28	0	0.603586858	0.00060832234	-0.00198947032	-0.0242169772	0.0011006652	0.00835067695	0	0	0	0	0	3
42	28	0	0.618308489	0.00129500552	-0.00195349378	-0.0242169772	0.00129500552	0.00766728936	0	0	0	0	0	3
43	29	0	0.633030119	0.000758434719	-0.00193355753	-0.0242169772	0.00129500552	0.00713276286	0	0	0	0	0	3
44	30	0	0.64775175	0.000689029107	-0.00191924602	-0.0242169772	0.00129500552	0.00668657791	0	0	0	0	0	3
45	30	0	0.662473381	0.00112441569	-0.00188926739	-0.0242169772	0.00129500552	0.00631755272	0	0	0	0	0	3
46	31	0	0.677195011	0.00103966627	-0.00186276806	-0.0242169772	0.00129500552	0.0060005751	0	0	0	0	0	3
47	32	0	0.691916642	-0.000267532447	-0.00187290893	-0.0242169772	0.00129500552	0.0057385777	0	0	0	0	0	3
48	32	0	0.706638273	-0.0011727383	-0.00191366667	-0.0242169772	0.00129500552	0.0055001	0	0	0	0	0	3
49	33	0	0.721359904	-0.00206343958	-0.00197558624	-0.0242169772	0.00129500552	0.00529143569	0	0	0	0	0	3
50	33	0	0.736081534	-0.00121580233	-0.00201257704	-0.0242169772	0.00129500552	0.00511803638	0	0	0	0	0	3
51	34	0	0.750803165	-0.000643526373	-0.00203809431	-0.0242169772	0.00129500552	0.00495776423	0	0	0	0	0	3
52	34	0	0.765524796	0.00051497825	-0.00202628763	-0.0242169772	0.00129500552	0.00481568643	0	0	0	0	0	3
53	35	0	0.780246426	0.000298995775	-0.00202157304	-0.0242169772	0.00129500552	0.00468847205	0	0	0	0	0	3
54	36	0	0.794968057	1.36135204e-05	-0.00202563771	-0.0242169772	0.00129500552	0.00457256166	0	0	0	0	0	3
55	36	0	0.809689688	-6.73746654e-05	-0.00203158306	-0.0242169772	0.00129500552	0.00402594792	0	0	0	0	0	3
56	37	0	0.824411318	-0.000369259627	-0.00176089873	-0.0242169772	0.00129500552	0.00302813324	0	0	0	0	0	3
57	37	0	0.839132949	0.000143058223	-0.0011377683	-0.0242169772	0.00129500552	0.0019812364	0	0	0	0	0	3
58	38	0	0.85385458	-0.000197011227	-0.000431298711	-0.0161634243	0.00129500552	0.00168828776	0	0	0	0	0	3
59	39	0	0.86857621	-0.000335865424	3.42177256e-05	-0.0033442874	0.00129500552	0.0021538042	0	0	0	0	0	3
60	39	0	0.883297841	-0.000106400359	0.000129449697	-0.00321673203	0.00129500552	0.00224903617	0	0	0	0	0	3
61	40	0	0.898019472	-0.000989782396	0.000194948216	-0.00206343958	0.00129500552	0.00231453469	0	0	0	0	0	3
62	40	0	0.912741102	-0.000307361193	0.000178581111	-0.00206343958	0.00129500552	0.00231453469	0	0	0	0	0	3
63	41	0	0.927462733	0.000416838863	0.000180474377	-0.00206343958	0.00129500552	0.00231453469	0	0	0	0	0	3
64	42	0	0.942184364	0.000125520326	0.000173828292	-0.00206343958	0.00129500552	0.00231453469	0	0	0	0	0	3
65	42	0	0.956905994	0.00074348454	0.000184822028	-0.00206343958	0.00129500552	0.00231453469	0	0	0	0	0	3
66	43	0	0.971627625	0.000229247872	0.000174978307	-0.00206343958	0.00129500552	0.00231453469	0	0	0	0	0	3
67	43	0	0.986349256	0.000857893904	0.000180176525	-0.00206343958	0.00129500552	0.00231453469	0	0	0	0	0	3
68	44	0	1.00107089	-0.000133436092	0.000156765917	-0.00206343958	0.00129500552	0.00231453469	15.9505277	0	0	0	0	3
69	45	0	1.01579252	0.000449655318	0.000152822347	-0.00206343958	0.00129500552	0.0023033002	15.7809518	0	0	0	0	3
70	45	0	1.03051415	-0.000146626019	0.0001316385	-0.00206343958	0.00129500552	0.0022667088	15.8042511	0	0	0	0	3
71	46	0	1.04523578	-0.000507203901	8.43482329e-05	-0.00206343958	0.00129500552	0.0022439516	15.9932032	0	0	0	0	3
72	46	0	1.05995741	-0.000461070588	4.99528378e-05	-0.00206343958	0.00129500552	0.00223304253	16.0095965	0	0	0	0	3
73	47	0	1.07467904	-0.000602295577	1.15701641e-05	-0.00206343958	0.00129500552	0.00223304253	15.8701792	0	0	0	0	3
74	47	0	1.08940067	-0.00143863131	-5.05057995e-05	-0.00206343958	0.00129500552	0.00223304253	15.888112	0	0	0	0	3
75	48	0	1.1041223	-0.00161381802	-0.000115862869	-0.00206343958	0.00129500552	0.00223304253	15.9030275	0	0	0	0	3
76	49	0	1.11884393	-0.00112010138	-0.000186895425	-0.00206343958	0.00112441569	0.00223304253	15.9252658	0	0	0	0	3
77	49	0	1.13356556	-0.000260112921	-0.000216852708	-0.00206343958	0.00112441569	0.00223304253	15.9482724	0	0	0	0	3
78	50	0	1.14828719	-0.000344726178	-0.000247257276	-0.00206343958	0.00112441569	0.00223304253	15.9619014	0	0	0	0	3
79	50	0	1.16300882	-0.00036280042	-0.000290998926	-0.00206343958	0.00103966627	0.00223304253	15.9692216	0	0	0	0	3
80	51	0	1.17773045	-0.000432358094	-0.00033429376	-0.00206343958	0.000857893904	0.00223304253	15.9773413	0	0	0	0	3
81	51	0	1.19245209	-0.00037584938	-0.000337479552	-0.00206343958	0.000857893904	0.00223304253	15.9857488	0	0	0	0	3
82	52	0	1.20717372	9.06252948e-05	-0.000300321799	-0.00206343958	0.000857893904	0.00223304253	15.9943295	0	0	0	0	3
83	53	0	1.22189535	0.0003473954	-0.000229414888	-0.00161381802	0.000857893904	0.00223304253	15.9766585	0	0	0	0	3
84	53	0	1.23661698	0.000743546045	-0.000171786995	-0.00161381802	0.000857893904	0.00223304253	15.9347094	0	0	0	0	3
85	54	0	1.25133861	0.000690953977	-0.000132537573	-0.00161381802	0.000857893904	0.00222653128	15.9083968	0	0	0	0	3
86	54	0	1.26606024	0.00103362997	-0.00011728311	-0.00161381802	0.00103362997	0.00222653128	15.8665949	0	0	0	0	3
87	55	0	1.28078187	0.000671955521	-0.000106313706	-0.00161381802	0.00103362997	0.00222653128	15.8463066	0	0	0	0	3
88	56	0	1.2955035	4.41182632e-05	-0.000105416508	-0.00161381802	0.00103362997	0.00222653128	15.9908668	0	0	0	0	3
89	56	0	1.31022513	0.000716211882	-8.23698447e-05	-0.00161381802	0.00103362997	0.00195584694	15.9757717	0	0	0	0	3
90	57	0	1.32494676	0.00102313059	-4.14171913e-05	-0.00161381802	0.00103362997	0.00133271652	15.973204	0	0	0	0	3
91	57	0	1.33966839	-8.80417272e-05	-4.82142487e-05	-0.00161381802	0.00103362997	0.000626246927	16.1316027	0	0	0	0	3
92	58	0	1.35439002	0.000952699781	-1.4399219e-05	-0.00161381802	0.00103362997	0.000532427768	16.1260398	0	0	0	0	3
93	58	0	1.36911165	0.000208430428	1.60948252e-06	-0.00161381802	0.00103362997	0.000532427768	16.1291882	0	0	0	0	3
94	59	0	1.38383328	0.000617349682	2.28962484e-05	-0.00161381802	0.00103362997	0.000532427768	16.1337108	0	0	0	0	3
