Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0147216307	1.45855776e+11	1.45855776e+11	1.45855776e+11	1.45855776e+11	0	0	0	0	0	0	3
2	5	0	0.0294432614	7.86732273e+10	1.12264502e+11	7.86732273e+10	1.45855776e+11	3.35912745e+10	0	0	0	0	0	3
3	6	0	0.0441648921	4.1595057e+10	8.87080202e+10	4.1595057e+10	1.45855776e+11	5.7147756e+10	0	0	0	0	0	3
4	6	0	0.0588865227	4.12269328e+10	7.68377483e+10	4.12269328e+10	1.45855776e+11	6.90180279e+10	0	0	0	0	0	3
5	7	0	0.0736081534	3.64744358e+10	6.87650858e+10	3.64744358e+10	1.45855776e+11	7.70906904e+10	0	0	0	0	0	3
6	7	0	0.0883297841	3.95109314e+10	6.38893934e+10	3.64744358e+10	1.45855776e+11	8.19663828e+10	0	0	0	0	0	3
7	8	0	0.103051415	3.73502379e+10	6.00980855e+10	3.64744358e+10	1.45855776e+11	8.57576907e+10	0	0	0	0	0	3
8	8	0	0.117773045	3.78911885e+10	5.73222234e+10	3.64744358e+10	1.45855776e+11	8.85335528e+10	0	0	0	0	0	3
9	9	0	0.132494676	3.88022139e+10	5.52644445e+10	3.64744358e+10	1.45855776e+11	9.05913317e+10	0	0	0	0	0	3
10	10	0	0.147216307	4.02766977e+10	5.37656698e+10	3.64744358e+10	1.45855776e+11	9.20901063e+10	0	0	0	0	0	3
11	10	0	0.161937938	4.19399465e+10	5.26906041e+10	3.64744358e+10	1.45855776e+11	9.31651721e+10	0	0	0	0	0	3
12	11	0	0.176659568	4.36199399e+10	5.19347154e+10	3.64744358e+10	1.45855776e+11	9.39210608e+10	0	0	0	0	0	3
13	11	0	0.191381199	4.50375459e+10	5.14041639e+10	3.64744358e+10	1.45855776e+11	9.44516123e+10	0	0	0	0	0	3
14	12	0	0.20610283	4.67635645e+10	5.10726925e+10	3.64744358e+10	1.45855776e+11	9.47830837e+10	0	0	0	0	0	3
15	12	0	0.22082446	4.91687711e+10	5.09457644e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
16	13	0	0.235546091	5.10647515e+10	5.09532011e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
17	14	0	0.250267722	5.37724807e+10	5.11190411e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
18	14	0	0.264989352	5.64817325e+10	5.14169684e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
19	15	0	0.279710983	5.92095206e+10	5.18271027e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
20	15	0	0.294432614	6.16779488e+10	5.2319645e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
21	16	0	0.309154244	6.38379448e+10	5.28681355e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
22	16	0	0.323875875	6.71312314e+10	5.3516458e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
23	17	0	0.338597506	7.02120413e+10	5.4242353e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
24	18	0	0.353319136	7.35757393e+10	5.50479107e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
25	18	0	0.368040767	7.6571839e+10	5.59088679e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
26	19	0	0.382762398	7.97020244e+10	5.68239893e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
27	19	0	0.397484028	8.39653812e+10	5.7829226e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
28	20	0	0.412205659	8.86534192e+10	5.893009e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
29	21	0	0.42692729	9.35013445e+10	6.01222023e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
30	21	0	0.441648921	9.81595367e+10	6.13901134e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
31	22	0	0.456370551	1.02800973e+11	6.27259476e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
32	22	0	0.471092182	1.09039532e+11	6.41732471e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
33	23	0	0.485813813	1.15429936e+11	6.57264801e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
34	24	0	0.500535443	1.21665697e+11	6.73717512e+10	3.64744358e+10	1.45855776e+11	9.49100118e+10	0	0	0	0	0	3
35	24	0	0.515257074	1.27872388e+11	6.6842828e+10	3.64744358e+10	1.27872388e+11	6.13187373e+10	0	0	0	0	0	3
36	25	0	0.529978705	1.33262957e+11	6.84484083e+10	3.64744358e+10	1.33262957e+11	3.77622557e+10	0	0	0	0	0	3
37	26	0	0.544700335	1.40135444e+11	7.1346655e+10	3.64744358e+10	1.40135444e+11	2.58919839e+10	0	0	0	0	0	3
38	26	0	0.559421966	1.47392304e+11	7.44691659e+10	3.64744358e+10	1.47392304e+11	2.35234014e+10	0	0	0	0	0	3
39	27	0	0.574143597	1.54503611e+11	7.79406122e+10	3.73502379e+10	1.54503611e+11	2.69948478e+10	0	0	0	0	0	3
40	27	0	0.588865227	1.61429764e+11	8.15264602e+10	3.73502379e+10	1.61429764e+11	3.05806958e+10	0	0	0	0	0	3
41	28	0	0.603586858	1.67257439e+11	8.53472603e+10	3.78911885e+10	1.67257439e+11	3.44014958e+10	0	0	0	0	0	3
42	28	0	0.618308489	1.74101986e+11	8.93534602e+10	3.88022139e+10	1.74101986e+11	3.84076957e+10	0	0	0	0	0	3
43	29	0	0.633030119	1.81014451e+11	9.3536173e+10	4.02766977e+10	1.81014451e+11	4.25904086e+10	0	0	0	0	0	3
44	30	0	0.64775175	1.87684087e+11	9.78716845e+10	4.19399465e+10	1.87684087e+11	4.692592e+10	0	0	0	0	0	3
45	30	0	0.662473381	1.94150422e+11	1.02348463e+11	4.36199399e+10	1.94150422e+11	5.14026987e+10	0	0	0	0	0	3
46	31	0	0.677195011	2.00361608e+11	1.06958512e+11	4.50375459e+10	2.00361608e+11	5.60127478e+10	0	0	0	0	0	3
47	32	0	0.691916642	2.06231032e+11	1.11699497e+11	4.67635645e+10	2.06231032e+11	6.07537327e+10	0	0	0	0	0	3
48	32	0	0.706638273	2.11811058e+11	1.16553835e+11	4.91687711e+10	2.11811058e+11	6.56080707e+10	0	0	0	0	0	3
49	33	0	0.721359904	2.17097862e+11	1.21492926e+11	5.10647515e+10	2.17097862e+11	7.05397249e+10	0	0	0	0	0	3
50	33	0	0.736081534	2.22097332e+11	1.26523296e+11	5.37724807e+10	2.22097332e+11	7.5404255e+10	0	0	0	0	0	3
51	34	0	0.750803165	2.26760276e+11	1.31611172e+11	5.64817325e+10	2.26760276e+11	8.0194204e+10	0	0	0	0	0	3
52	34	0	0.765524796	2.31212271e+11	1.36750306e+11	5.92095206e+10	2.31212271e+11	8.49232032e+10	0	0	0	0	0	3
53	35	0	0.780246426	2.35388579e+11	1.41932043e+11	6.16779488e+10	2.35388579e+11	8.96123979e+10	0	0	0	0	0	3
54	36	0	0.794968057	2.39454452e+11	1.47160764e+11	6.38379448e+10	2.39454452e+11	9.42926281e+10	0	0	0	0	0	3
