Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0147216307	264.681132	264.681132	264.681132	264.681132	0	0	0	0	0	0	3
2	5	0	0.0294432614	255.966159	260.323646	255.966159	264.681132	4.35748601	0	0	0	0	0	3
3	6	0	0.0441648921	255.931735	258.859675	255.931735	264.681132	5.82145618	0	0	0	0	0	3
4	6	0	0.0588865227	254.408935	257.74699	254.408935	264.681132	6.93414131	0	0	0	0	0	3
5	7	0	0.0736081534	255.208665	257.239325	254.408935	264.681132	7.44180626	0	0	0	0	0	3
6	7	0	0.0883297841	256.163303	257.059988	254.408935	264.681132	7.62114331	0	0	0	0	0	3
7	8	0	0.103051415	260.364655	257.532083	254.408935	264.681132	7.62114331	0	0	0	0	0	3
8	8	0	0.117773045	264.569049	258.411704	254.408935	264.681132	7.62114331	0	0	0	0	0	3
9	9	0	0.132494676	269.826092	259.67997	254.408935	269.826092	7.62114331	0	0	0	0	0	3
10	10	0	0.147216307	274.684276	261.1804	254.408935	274.684276	7.62114331	0	0	0	0	0	3
11	10	0	0.161937938	281.226025	263.00273	254.408935	281.226025	7.62114331	0	0	0	0	0	3
12	11	0	0.176659568	277.431735	264.205147	254.408935	281.226025	7.62114331	0	0	0	0	0	3
13	11	0	0.191381199	277.394037	265.219677	254.408935	281.226025	8.15968867	0	0	0	0	0	3
14	12	0	0.20610283	278.349066	266.15749	254.408935	281.226025	9.09750215	0	0	0	0	0	3
15	12	0	0.22082446	280.743254	267.129875	254.408935	281.226025	10.0698864	0	0	0	0	0	3
16	13	0	0.235546091	281.122367	268.004405	254.408935	281.226025	10.9444172	0	0	0	0	0	3
17	14	0	0.250267722	281.663072	268.807856	254.408935	281.663072	11.7478682	0	0	0	0	0	3
18	14	0	0.264989352	282.037637	269.542844	254.408935	282.037637	12.482856	0	0	0	0	0	3
19	15	0	0.279710983	282.332779	270.215999	254.408935	282.332779	13.1560105	0	0	0	0	0	3
20	15	0	0.294432614	282.746992	270.842548	254.408935	282.746992	13.7825602	0	0	0	0	0	3
21	16	0	0.309154244	283.188318	271.430442	254.408935	283.188318	14.370454	0	0	0	0	0	3
22	16	0	0.323875875	283.507943	271.979419	254.408935	283.507943	14.9194313	0	0	0	0	0	3
23	17	0	0.338597506	283.426742	272.477129	254.408935	283.507943	15.4171409	0	0	0	0	0	3
24	18	0	0.353319136	283.399098	272.932211	254.408935	283.507943	15.872223	0	0	0	0	0	3
25	18	0	0.368040767	283.359825	273.349316	254.408935	283.507943	16.2893275	0	0	0	0	0	3
26	19	0	0.382762398	283.276521	273.731131	254.408935	283.507943	16.6711431	0	0	0	0	0	3
27	19	0	0.397484028	283.176558	274.080962	254.408935	283.507943	17.0209737	0	0	0	0	0	3
28	20	0	0.412205659	283.023054	274.400322	254.408935	283.507943	17.3403342	0	0	0	0	0	3
29	21	0	0.42692729	282.882159	274.6928	254.408935	283.507943	17.6328113	0	0	0	0	0	3
30	21	0	0.441648921	282.751018	274.961407	254.408935	283.507943	17.9014186	0	0	0	0	0	3
31	22	0	0.456370551	282.489004	275.204233	254.408935	283.507943	18.1442443	0	0	0	0	0	3
32	22	0	0.471092182	282.315875	275.426471	254.408935	283.507943	18.3664832	0	0	0	0	0	3
33	23	0	0.485813813	282.151924	275.630273	254.408935	283.507943	18.5702848	0	0	0	0	0	3
34	24	0	0.500535443	281.97928	275.817008	254.408935	283.507943	18.7570202	0	0	0	0	0	3
35	24	0	0.515257074	281.975668	276.325671	254.408935	283.507943	19.2656831	0	0	0	0	0	3
36	25	0	0.529978705	281.941792	277.08966	254.408935	283.507943	20.0296722	0	0	0	0	0	3
37	26	0	0.544700335	281.965371	277.855356	254.408935	283.507943	20.7953674	0	0	0	0	0	3
38	26	0	0.559421966	281.972368	278.666045	255.208665	283.507943	21.6060566	0	0	0	0	0	3
39	27	0	0.574143597	281.97219	279.453207	256.163303	283.507943	22.3932191	0	0	0	0	0	3
40	27	0	0.588865227	281.919208	280.210734	260.364655	283.507943	22.6786505	0	0	0	0	0	3
41	28	0	0.603586858	281.963205	280.845985	264.569049	283.507943	18.9388939	0	0	0	0	0	3
42	28	0	0.618308489	282.051594	281.360178	269.826092	283.507943	13.6818506	0	0	0	0	0	3
43	29	0	0.633030119	282.200696	281.724137	274.684276	283.507943	8.82366664	0	0	0	0	0	3
44	30	0	0.64775175	282.267886	281.947184	277.394037	283.507943	6.11390558	0	0	0	0	0	3
45	30	0	0.662473381	282.373586	281.980936	277.394037	283.507943	6.11390558	0	0	0	0	0	3
46	31	0	0.677195011	282.492454	282.129781	277.394037	283.507943	6.11390558	0	0	0	0	0	3
47	32	0	0.691916642	282.526794	282.280744	278.349066	283.507943	5.15887745	0	0	0	0	0	3
48	32	0	0.706638273	282.612288	282.406133	280.743254	283.507943	2.76468867	0	0	0	0	0	3
49	33	0	0.721359904	282.643387	282.462019	281.122367	283.507943	2.38557578	0	0	0	0	0	3
50	33	0	0.736081534	282.655858	282.507122	281.663072	283.507943	1.84487058	0	0	0	0	0	3
51	34	0	0.750803165	282.505324	282.531894	281.919208	283.507943	1.58873477	0	0	0	0	0	3
52	34	0	0.765524796	282.342824	282.54087	281.919208	283.507943	1.58873477	0	0	0	0	0	3
53	35	0	0.780246426	282.630094	282.549615	281.919208	283.507943	1.58873477	0	0	0	0	0	3
54	36	0	0.794968057	282.398184	282.539356	281.919208	283.507943	1.58873477	0	0	0	0	0	3
55	36	0	0.809689688	282.691017	282.524729	281.919208	283.507943	1.58873477	0	0	0	0	0	3
56	37	0	0.824411318	282.821892	282.504551	281.919208	283.426742	1.5075333	0	0	0	0	0	3
57	37	0	0.839132949	284.051334	282.522921	281.919208	284.051334	2.13212576	0	0	0	0	0	3
58	38	0	0.85385458	284.008197	282.540836	281.919208	284.051334	2.13212576	0	0	0	0	0	3
59	39	0	0.86857621	284.377231	282.57076	281.919208	284.377231	2.45802246	0	0	0	0	0	3
60	39	0	0.883297841	284.630738	282.61059	281.919208	284.630738	2.71152938	0	0	0	0	0	3
61	40	0	0.898019472	284.604907	282.6526	281.919208	284.630738	2.71152938	0	0	0	0	0	3
62	40	0	0.912741102	283.926906	282.679184	281.919208	284.630738	2.71152938	0	0	0	0	0	3
63	41	0	0.927462733	283.896791	282.709026	281.919208	284.630738	2.71152938	0	0	0	0	0	3
64	42	0	0.942184364	283.596813	282.733902	281.919208	284.630738	2.71152938	0	0	0	0	0	3
65	42	0	0.956905994	283.777707	282.771805	281.919208	284.630738	2.71152938	0	0	0	0	0	3
66	43	0	0.971627625	283.493132	282.806431	281.919208	284.630738	2.71152938	0	0	0	0	0	3
67	43	0	0.986349256	283.859177	282.856644	281.919208	284.630738	2.71152938	0	0	0	0	0	3
68	44	0	1.00107089	283.425498	282.89918	281.919208	284.630738	2.71152938	0.906654086	0	0	0	0	3
69	45	0	1.01579252	283.468326	282.943081	281.919208	284.630738	2.71152938	0.906654086	0	0	0	0	3
70	45	0	1.03051415	283.284003	282.982558	281.919208	284.630738	2.71152938	0.906654086	0	0	0	0	3
71	46	0	1.04523578	283.400397	283.024765	281.919208	284.630738	2.71152938	0.906654086	0	0	0	0	3
72	46	0	1.05995741	283.263573	283.062741	281.919208	284.630738	2.71152938	0.906654086	0	0	0	0	3
73	47	0	1.07467904	283.406812	283.104936	281.919208	284.630738	2.71152938	0.906654086	0	0	0	0	3
74	47	0	1.08940067	283.311594	283.145889	281.963205	284.630738	2.29990334	0.906654086	0	0	0	0	3
75	48	0	1.1041223	283.460312	283.189921	282.051594	284.630738	1.8297434	0.906654086	0	0	0	0	3
76	49	0	1.11884393	283.362504	283.228478	282.200696	284.630738	1.50434065	0.906654086	0	0	0	0	3
77	49	0	1.13356556	283.595796	283.26951	282.267886	284.630738	1.32232565	0.906654086	0	0	0	0	3
78	50	0	1.14828719	283.522013	283.306396	282.342824	284.630738	1.32545995	0.906654086	0	0	0	0	3
79	50	0	1.16300882	283.784521	283.347894	282.342824	284.630738	1.21811336	0.906654086	0	0	0	0	3
80	51	0	1.17773045	283.72281	283.384081	282.342824	284.630738	1.10333685	0.906654086	0	0	0	0	3
81	51	0	1.19245209	284.013271	283.427801	282.342824	284.630738	1.02166784	0.906654086	0	0	0	0	3
82	52	0	1.20717372	284.289446	283.477129	282.342824	284.630738	1.01510977	0.906654086	0	0	0	0	3
83	53	0	1.22189535	285.766801	283.568994	282.342824	285.766801	1.06444302	0.906654086	0	0	0	0	3
84	53	0	1.23661698	286.301002	283.676204	282.342824	286.301002	1.17165316	0.906654086	0	0	0	0	3
85	54	0	1.25133861	287.242335	283.815528	282.342824	287.242335	1.31097701	0.906654086	0	0	0	0	3
86	54	0	1.26606024	287.670672	283.97223	282.398184	287.670672	1.46767844	0.906654086	0	0	0	0	3
87	55	0	1.28078187	288.332005	284.139933	282.398184	288.332005	1.63538171	0.906654086	0	0	0	0	3
88	56	0	1.2955035	288.52745	284.320205	282.691017	288.52745	1.81565424	0.906654086	0	0	0	0	3
89	56	0	1.31022513	288.898365	284.502774	282.821892	288.898365	1.99822332	0.906654086	0	0	0	0	3
90	57	0	1.32494676	288.859644	284.680355	283.263573	288.898365	2.1574339	0.906654086	0	0	0	0	3
91	57	0	1.33966839	289.216989	284.832286	283.263573	289.216989	2.29145025	0.906654086	0	0	0	0	3
92	58	0	1.35439002	289.094556	284.981885	283.263573	289.216989	2.41112536	0.906654086	0	0	0	0	3
93	58	0	1.36911165	289.386417	285.129214	283.263573	289.386417	2.51862449	0.906654086	0	0	0	0	3
94	59	0	1.38383328	289.276578	285.265857	283.263573	289.386417	2.61325658	0.906654086	0	0	0	0	3
95	59	0	1.39855492	289.622721	285.413439	283.263573	289.622721	2.73425548	0.906654086	0	0	0	0	3
96	60	0	1.41327655	289.501663	285.577403	283.263573	289.622721	2.86837683	0.906654086	0	0	0	0	3
97	60	0	1.42799818	289.83669	285.752106	283.263573	289.83669	3.01820344	0.906654086	0	0	0	0	3
98	61	0	1.44271981	289.817485	285.935067	283.263573	289.83669	3.16326137	0.906654086	0	0	0	0	3
99	62	0	1.45744144	290.170689	286.123096	283.263573	290.170689	3.31666504	0.906654086	0	0	0	0	3
100	62	0	1.47216307	290.181816	286.319822	283.263573	290.181816	3.46317773	0.906654086	0	0	0	0	3
101	63	0	1.4868847	290.436821	286.513282	283.263573	290.436821	3.61410202	0.906654086	0	0	0	0	3
102	64	0	1.50160633	290.491803	286.721114	283.263573	290.491803	3.77803279	0.906654086	0	0	0	0	3
103	64	0	1.51632796	290.750484	286.935295	283.263573	290.750484	3.95273709	0.906654086	0	0	0	0	3
104	65	0	1.53104959	290.780939	287.155793	283.263573	290.780939	4.13102855	0.906654086	0	0	0	0	3
105	66	0	1.54577122	290.983191	287.378817	283.263573	290.983191	4.31607528	0.906654086	0	0	0	0	3
106	66	0	1.56049285	293.420344	287.677545	283.311594	293.420344	4.57260907	0.906654086	0	0	0	0	3
107	67	0	1.57521448	296.047309	288.049325	283.311594	296.047309	4.90343587	0.906654086	0	0	0	0	3
108	67	0	1.58993611	294.37695	288.374776	283.362504	296.047309	5.18485495	0.906654086	0	0	0	0	3
109	68	0	1.60465774	294.30505	288.693739	283.362504	296.047309	5.46526167	0.906654086	0	0	0	0	3
110	68	0	1.61937938	294.332514	289.016387	283.522013	296.047309	5.7468767	0.906654086	0	0	0	0	3
111	69	0	1.63410101	295.045941	289.353156	283.522013	296.047309	6.04675958	0.906654086	0	0	0	0	3
112	69	0	1.64882264	295.202408	289.696697	283.72281	296.047309	6.34880252	0.906654086	0	0	0	0	3
113	70	0	1.66354427	295.549014	290.042711	283.72281	296.047309	6.65863008	0.906654086	0	0	0	0	3
114	71	0	1.6782659	295.624785	290.392769	284.013271	296.047309	6.96496829	0.906654086	0	0	0	0	3
115	71	0	1.69298753	296.075708	290.747547	284.289446	296.075708	7.27041768	0.906654086	0	0	0	0	3
116	72	0	1.70770916	296.404781	291.10388	285.766801	296.404781	7.53488593	0.906654086	0	0	0	0	3
117	72	0	1.72243079	297.131377	291.438132	286.301002	297.131377	7.76192805	0.906654086	0	0	0	0	3
118	73	0	1.73715242	308.302355	292.085231	287.242335	308.302355	8.26970281	0.906654086	0	0	0	0	3
119	73	0	1.75187405	310.53487	292.770305	287.670672	310.53487	8.79807593	0.906654086	0	0	0	0	3
120	74	0	1.76659568	311.577062	293.473435	288.332005	311.577062	9.33350176	0.906654086	0	0	0	0	3
121	74	0	1.78131731	312.229203	294.176293	288.52745	312.229203	9.85608798	0.906654086	0	0	0	0	3
122	75	0	1.79603894	312.597651	294.88424	288.859644	312.597651	10.381466	0.906654086	0	0	0	0	3
123	75	0	1.81076057	313.556655	295.609484	288.859644	313.556655	10.9291289	0.906654086	0	0	0	0	3
124	76	0	1.8254822	316.176313	296.412916	289.094556	316.176313	11.5806292	0.906654086	0	0	0	0	3
125	76	0	1.84020384	319.513033	297.303976	289.094556	319.513033	12.3220906	0.906654086	0	0	0	0	3
126	77	0	1.85492547	315.589416	298.083236	289.276578	319.513033	12.9540221	0.906654086	0	0	0	0	3
127	78	0	1.8696471	314.820702	298.831304	289.276578	319.513033	13.565447	0.906654086	0	0	0	0	3
128	78	0	1.88436873	313.35748	299.539565	289.501663	319.513033	14.126126	0.906654086	0	0	0	0	3
129	79	0	1.89909036	313.374611	300.23815	289.501663	319.513033	14.6607476	0.906654086	0	0	0	0	3
130	79	0	1.91381199	312.788305	300.923052	289.817485	319.513033	15.1709459	0.906654086	0	0	0	0	3
131	80	0	1.92853362	313.116914	301.607764	289.817485	319.513033	15.6726974	0.906654086	0	0	0	0	3
132	80	0	1.94325525	313.150449	302.294028	290.170689	319.513033	16.1709322	0.906654086	0	0	0	0	3
133	81	0	1.95797688	313.228508	302.972199	290.181816	319.513033	16.6523773	0.906654086	0	0	0	0	3
134	81	0	1.97269851	319.392534	303.831338	290.436821	319.513033	17.318056	0.906654086	0	0	0	0	3
135	82	0	1.98742014	318.555032	304.658344	290.491803	319.513033	17.9372297	0.906654086	0	0	0	0	3
136	82	0	2.00214177	317.961552	305.466278	290.750484	319.513033	18.5309824	0.906654086	0	0	0	0	3
137	83	0	2.0168634	320.014814	306.326993	290.780939	320.014814	19.1711999	0.906654086	0	0	0	0	3
138	83	0	2.03158503	320.426458	307.19892	290.983191	320.426458	19.8201036	0.906654086	0	0	0	0	3
139	84	0	2.04630667	321.56164	308.098286	293.420344	321.56164	20.4207412	0.906654086	0	0	0	0	3
140	85	0	2.0610283	320.245794	308.88727	294.30505	321.56164	20.8379457	0.906654086	0	0	0	0	3
141	85	0	2.07574993	320.883559	309.617748	294.30505	321.56164	21.242972	0.906654086	0	0	0	0	3
142	86	0	2.09047156	320.741332	310.393171	294.30505	321.56164	21.6994321	0.906654086	0	0	0	0	3
143	86	0	2.10519319	322.157218	311.212353	294.332514	322.157218	22.1959661	0.906654086	0	0	0	0	3
144	87	0	2.11991482	322.033924	312.0271	295.045941	322.157218	22.6739445	0.906654086	0	0	0	0	3
145	87	0	2.13463645	322.650808	312.839008	295.202408	322.650808	23.1423113	0.906654086	0	0	0	0	3
146	88	0	2.14935808	322.722065	313.648409	295.549014	322.722065	23.6056984	0.906654086	0	0	0	0	3
147	88	0	2.16407971	324.211353	314.491419	295.624785	324.211353	24.0986503	0.906654086	0	0	0	0	3
148	89	0	2.17880134	324.846731	315.350888	296.075708	324.846731	24.6033418	0.906654086	0	0	0	0	3
149	90	0	2.19352297	326.672748	316.250801	296.404781	326.672748	25.1469213	0.906654086	0	0	0	0	3
150	90	0	2.2082446	327.538865	317.16651	297.131377	327.538865	25.7283774	0.906654086	0	0	0	0	3
151	91	0	2.22296623	327.994632	318.074253	308.302355	327.994632	19.6922772	0.906654086	0	0	0	0	3
152	91	0	2.23768786	327.825155	318.648453	310.53487	327.994632	17.4597622	0.906654086	0	0	0	0	3
153	92	0	2.25240949	329.998334	319.220907	311.577062	329.998334	18.4212719	0.906654086	0	0	0	0	3
154	92	0	2.26713113	332.656893	319.840902	312.229203	332.656893	20.4276903	0.906654086	0	0	0	0	3
155	93	0	2.28185276	337.717808	320.590567	312.597651	337.717808	25.1201567	0.906654086	0	0	0	0	3
156	93	0	2.29657439	342.413024	321.46749	312.788305	342.413024	25.8580058	0.906654086	0	0	0	0	3
157	94	0	2.31129602	343.127298	322.337215	312.788305	343.127298	25.9242992	0.906654086	0	0	0	0	3
158	94	0	2.32601765	341.600577	323.084987	312.788305	343.127298	25.7810115	0.906654086	0	0	0	0	3
159	95	0	2.34073928	340.534564	323.703268	312.788305	343.127298	25.6200312	0.906654086	0	0	0	0	3
160	96	0	2.35546091	339.372901	324.402782	312.788305	343.127298	25.5714783	0.906654086	0	0	0	0	3
161	96	0	2.37018254	340.76103	325.165733	312.788305	343.127298	25.6261673	0.906654086	0	0	0	0	3
162	97	0	2.38490417	340.751633	325.971443	312.788305	343.127298	25.7332927	0.906654086	0	0	0	0	3
163	97	0	2.3996258	343.342406	326.852849	312.788305	343.342406	25.9297972	0.906654086	0	0	0	0	3
164	98	0	2.41434743	349.206889	327.923984	313.116914	349.206889	26.3162195	0.906654086	0	0	0	0	3
165	98	0	2.42906906	347.268698	328.928448	313.150449	349.206889	26.6344201	0.906654086	0	0	0	0	3
166	99	0	2.44379069	345.171333	329.870239	313.228508	349.206889	26.8980397	0.906654086	0	0	0	0	3
167	100	0	2.45851232	346.114735	330.837481	317.961552	349.206889	27.0061428	0.906654086	0	0	0	0	3
168	100	0	2.47323396	346.730473	331.641538	317.961552	349.206889	26.9831936	0.906654086	0	0	0	0	3
169	101	0	2.48795559	347.27398	332.486212	317.961552	349.206889	27.0199348	0.906654086	0	0	0	0	3
170	101	0	2.50267722	347.299586	333.349096	320.014814	349.206889	27.0221025	0.906654086	0	0	0	0	3
171	102	0	2.51739885	348.893679	334.198474	320.245794	349.206889	26.9995538	0.906654086	0	0	0	0	3
172	102	0	2.53212048	348.632365	335.02806	320.245794	349.206889	26.9297732	0.906654086	0	0	0	0	3
173	103	0	2.54684211	350.822835	335.888683	320.245794	350.822835	27.0014127	0.906654086	0	0	0	0	3
174	103	0	2.56156374	351.750537	336.815293	320.741332	351.750537	27.1975449	0.906654086	0	0	0	0	3
175	104	0	2.57628537	351.37583	337.712125	320.741332	351.750537	27.3189534	0.906654086	0	0	0	0	3
176	104	0	2.591007	350.4625	338.586277	322.033924	351.750537	27.373924	0.906654086	0	0	0	0	3
177	105	0	2.60572863	350.804954	339.428857	322.033924	351.750537	27.4017572	0.906654086	0	0	0	0	3
178	105	0	2.62045026	351.196811	340.286589	322.650808	351.750537	27.4475813	0.906654086	0	0	0	0	3
179	106	0	2.63517189	352.930028	341.177154	322.722065	352.930028	27.528745	0.906654086	0	0	0	0	3
180	107	0	2.64989352	352.880252	342.06416	324.211353	352.930028	27.5727405	0.913504044	0	0	0	0	3
