Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0147216307
2	5	0	0.0294432614
3	6	0	0.0441648921
4	6	0	0.0588865227
5	7	0	0.0736081534
6	7	0	0.0883297841
7	8	0	0.103051415
8	8	0	0.117773045
9	9	0	0.132494676
10	10	0	0.147216307
11	10	0	0.161937938
12	11	0	0.176659568
13	11	0	0.191381199
14	12	0	0.20610283
15	12	0	0.22082446
16	13	0	0.235546091
17	14	0	0.250267722
18	14	0	0.264989352
19	15	0	0.279710983
20	15	0	0.294432614
21	16	0	0.309154244
22	16	0	0.323875875
23	17	0	0.338597506
24	18	0	0.353319136
25	18	0	0.368040767
26	19	0	0.382762398
27	19	0	0.397484028
28	20	0	0.412205659
29	21	0	0.42692729
30	21	0	0.441648921
31	22	0	0.456370551
32	22	0	0.471092182
33	23	0	0.485813813
34	24	0	0.500535443
35	24	0	0.515257074
36	25	0	0.529978705
37	26	0	0.544700335
38	26	0	0.559421966
39	27	0	0.574143597
40	27	0	0.588865227
41	28	0	0.603586858
42	28	0	0.618308489
43	29	0	0.633030119
44	30	0	0.64775175
45	30	0	0.662473381
46	31	0	0.677195011
47	32	0	0.691916642
48	32	0	0.706638273
49	33	0	0.721359904
50	33	0	0.736081534
51	34	0	0.750803165
52	34	0	0.765524796
53	35	0	0.780246426
54	36	0	0.794968057
55	36	0	0.809689688
56	37	0	0.824411318
57	37	0	0.839132949
58	38	0	0.85385458
59	39	0	0.86857621
60	39	0	0.883297841
61	40	0	0.898019472
62	40	0	0.912741102
63	41	0	0.927462733
64	42	0	0.942184364
65	42	0	0.956905994
66	43	0	0.971627625
67	43	0	0.986349256
68	44	0	1.00107089
69	45	0	1.01579252
70	45	0	1.03051415
71	46	0	1.04523578
72	46	0	1.05995741
73	47	0	1.07467904
74	47	0	1.08940067
75	48	0	1.1041223
76	49	0	1.11884393
77	49	0	1.13356556
78	50	0	1.14828719
79	50	0	1.16300882
80	51	0	1.17773045
81	51	0	1.19245209
82	52	0	1.20717372
83	53	0	1.22189535
84	53	0	1.23661698
85	54	0	1.25133861
86	54	0	1.26606024
87	55	0	1.28078187
88	56	0	1.2955035
89	56	0	1.31022513
90	57	0	1.32494676
91	57	0	1.33966839
92	58	0	1.35439002
93	58	0	1.36911165
94	59	0	1.38383328
95	59	0	1.39855492
96	60	0	1.41327655
97	60	0	1.42799818
98	61	0	1.44271981
99	62	0	1.45744144
100	62	0	1.47216307
101	63	0	1.4868847
102	64	0	1.50160633
103	64	0	1.51632796
104	65	0	1.53104959
105	66	0	1.54577122
106	66	0	1.56049285
107	67	0	1.57521448
108	67	0	1.58993611
109	68	0	1.60465774
110	68	0	1.61937938
111	69	0	1.63410101
112	69	0	1.64882264
113	70	0	1.66354427
114	71	0	1.6782659
115	71	0	1.69298753
116	72	0	1.70770916
117	72	0	1.72243079
118	73	0	1.73715242
119	73	0	1.75187405
120	74	0	1.76659568
121	74	0	1.78131731
122	75	0	1.79603894
123	75	0	1.81076057
124	76	0	1.8254822
125	76	0	1.84020384
126	77	0	1.85492547
127	78	0	1.8696471
128	78	0	1.88436873
129	79	0	1.89909036
130	79	0	1.91381199
131	80	0	1.92853362
132	80	0	1.94325525
133	81	0	1.95797688
134	81	0	1.97269851
135	82	0	1.98742014
136	82	0	2.00214177
137	83	0	2.0168634
138	83	0	2.03158503
139	84	0	2.04630667
140	85	0	2.0610283
141	85	0	2.07574993
142	86	0	2.09047156
143	86	0	2.10519319
144	87	0	2.11991482
145	87	0	2.13463645
146	88	0	2.14935808
147	88	0	2.16407971
148	89	0	2.17880134
149	90	0	2.19352297
150	90	0	2.2082446
151	91	0	2.22296623
152	91	0	2.23768786
153	92	0	2.25240949
154	92	0	2.26713113
155	93	0	2.28185276
156	93	0	2.29657439
157	94	0	2.31129602
158	94	0	2.32601765
159	95	0	2.34073928
160	96	0	2.35546091
161	96	0	2.37018254
162	97	0	2.38490417
163	97	0	2.3996258
164	98	0	2.41434743
165	98	0	2.42906906
166	99	0	2.44379069
167	100	0	2.45851232
168	100	0	2.47323396
169	101	0	2.48795559
170	101	0	2.50267722
171	102	0	2.51739885
172	102	0	2.53212048
173	103	0	2.54684211
174	103	0	2.56156374
175	104	0	2.57628537
176	104	0	2.591007
177	105	0	2.60572863
178	105	0	2.62045026
179	106	0	2.63517189
180	107	0	2.64989352
